L,A,B
45,160,153
45,161,153
46,162,154
36,155,148
35,155,148
33,155,147
33,154,147
33,154,147
33,154,147
33,154,147
33,154,147
33,154,147
33,155,146
33,155,146
33,155,147
33,155,147
34,155,148
34,156,148
36,157,149
36,156,149
36,158,149
36,158,149
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,151
39,159,151
40,159,150
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
39,159,151
39,159,151
39,159,151
39,159,151
39,159,151
40,159,150
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
40,159,150
40,159,150
40,159,150
40,159,150
39,159,151
39,159,151
39,159,151
39,159,151
39,159,151
39,159,151
39,159,151
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
39,159,151
39,159,151
39,159,151
38,158,150
38,158,150
38,158,150
38,158,151
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
37,157,150
37,157,150
37,157,150
36,158,149
37,158,150
37,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,151
38,158,150
38,158,150
38,158,150
39,159,151
39,159,151
40,158,150
40,158,150
40,158,150
38,158,151
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
39,159,151
39,159,151
40,159,150
40,159,150
39,160,150
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
40,159,150
39,159,151
39,159,151
39,159,151
39,159,151
39,159,151
40,159,150
40,159,150
40,159,151
41,160,151
41,160,151
42,160,152
43,161,152
43,161,152
43,161,153
44,161,153
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
44,161,153
43,161,153
43,161,153
43,161,153
43,161,152
42,160,152
42,160,152
42,160,152
42,160,152
41,160,151
41,160,150
41,160,150
41,158,150
40,158,151
40,158,151
40,158,150
39,158,151
38,157,150
38,157,150
36,157,149
36,155,148
35,155,148
34,155,148
33,155,147
33,154,147
33,154,147
33,154,147
33,154,147
33,154,147
33,155,147
33,155,147
34,155,148
35,155,148
36,156,149
37,157,150
39,158,151
40,158,150
41,160,151
43,161,152
45,160,153
45,161,153
47,161,154
36,155,148
35,155,148
33,155,147
33,154,147
33,154,147
33,154,147
33,154,147
33,154,147
33,155,146
33,155,146
33,155,146
33,155,147
33,155,147
34,155,148
34,155,148
35,156,148
36,157,149
37,157,150
36,158,149
37,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,151
39,159,151
40,159,150
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
40,159,150
39,159,151
39,159,151
40,158,150
39,159,151
40,159,150
40,159,150
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
40,159,151
40,159,151
40,159,151
40,159,150
40,159,150
40,159,150
40,159,150
40,159,150
39,159,151
39,159,151
39,159,151
38,160,150
38,160,150
38,160,150
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
38,160,150
38,160,150
39,159,151
38,158,150
38,158,150
38,158,151
38,158,151
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
37,158,150
37,158,150
37,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,151
38,158,150
38,158,150
39,159,151
39,159,151
39,159,151
40,158,151
40,158,151
40,158,150
39,158,151
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
39,159,151
39,159,151
39,159,151
39,159,151
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
40,159,150
40,159,150
39,159,151
39,159,151
39,159,151
39,159,151
40,159,150
40,159,150
40,159,151
40,159,151
41,160,151
42,160,152
42,160,152
43,161,152
43,161,152
43,161,153
44,161,153
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
43,161,153
43,161,153
43,161,153
43,161,152
43,161,152
42,160,152
42,160,152
42,160,152
41,160,151
41,160,150
41,158,150
40,159,151
40,158,151
40,158,151
39,158,151
39,158,151
38,157,150
37,157,149
36,157,149
35,155,148
35,155,148
34,155,148
33,155,147
33,154,147
33,154,147
33,154,147
33,154,147
33,154,147
33,155,147
33,155,147
34,155,148
35,155,148
36,156,149
37,157,149
39,158,151
40,158,150
41,160,151
43,161,152
45,160,153
45,161,153
47,161,154
36,156,149
35,155,148
33,155,147
33,155,147
33,154,147
33,154,147
33,154,147
32,155,146
32,155,146
32,155,146
33,154,147
33,155,147
33,155,147
34,155,148
34,155,148
34,156,148
36,157,149
36,157,149
37,157,150
37,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,151
39,159,151
40,159,150
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
40,159,150
39,159,151
40,158,150
40,158,150
40,158,150
40,159,150
40,159,150
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,150
40,159,150
40,159,150
40,159,150
38,160,150
38,160,150
38,160,150
38,160,150
38,160,150
38,160,150
38,160,150
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
38,160,150
39,159,151
39,159,151
39,159,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,151
38,158,151
38,158,150
39,159,151
39,159,151
39,159,151
39,159,151
40,158,150
40,158,150
40,158,150
39,158,151
38,158,151
38,158,151
38,158,150
38,158,150
38,158,151
38,158,150
39,159,151
39,159,151
39,159,151
39,159,151
39,159,151
38,160,150
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
40,159,150
40,159,150
40,159,150
39,159,151
39,159,151
40,159,150
40,159,150
40,159,150
40,159,151
41,160,150
42,160,151
42,160,151
42,160,151
43,161,152
43,161,152
43,161,152
44,161,153
44,161,153
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
43,161,153
43,161,153
43,161,153
43,161,153
43,161,152
42,160,152
42,160,152
42,160,152
41,160,150
41,160,150
41,160,150
41,158,150
40,158,151
40,158,150
39,158,151
39,158,151
38,157,150
37,157,149
36,157,149
35,155,148
35,155,148
34,155,148
33,155,147
33,154,147
33,154,147
33,154,147
33,154,147
33,155,147
33,155,147
33,155,147
34,155,148
35,155,148
36,156,149
37,157,149
40,158,150
40,158,151
41,160,150
43,161,152
45,160,153
45,161,153
46,161,154
35,155,148
33,155,147
33,155,147
33,154,147
33,154,147
33,153,147
32,155,146
32,155,146
32,155,146
32,155,146
33,154,147
33,155,147
33,155,147
34,155,148
34,155,148
35,156,148
36,157,149
37,157,150
37,157,150
38,157,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,151
38,158,151
39,159,151
40,159,150
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
40,159,150
40,159,150
40,158,150
40,158,151
40,158,151
40,158,151
40,158,151
40,159,150
40,159,150
39,160,151
39,160,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,150
40,159,150
39,160,151
39,160,151
38,160,150
38,160,150
38,160,150
38,160,150
38,160,150
38,160,150
38,160,150
39,160,151
39,160,151
39,160,151
39,160,151
40,159,150
40,159,150
40,159,150
40,159,150
39,159,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,151
38,158,151
38,158,151
38,158,151
39,159,151
39,159,151
39,159,151
39,159,151
39,159,151
40,158,150
39,159,151
39,159,151
38,158,150
38,158,151
38,158,151
40,158,150
40,158,150
40,158,150
39,159,151
39,159,151
39,159,151
39,159,151
39,159,151
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
40,159,150
40,158,151
40,158,151
40,158,151
40,158,151
40,158,151
40,158,151
40,158,151
40,159,151
41,160,150
42,159,151
43,159,152
43,161,152
43,161,152
43,161,152
43,161,152
43,161,153
44,161,153
45,162,154
45,162,154
45,162,154
45,162,154
46,162,154
45,162,153
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
43,161,153
43,161,153
43,161,153
43,161,152
43,161,152
42,160,152
42,160,152
42,160,152
42,160,151
41,160,150
41,160,150
40,159,151
40,158,151
40,158,150
39,158,151
39,158,151
38,157,150
37,157,149
36,156,149
35,155,148
35,155,148
34,155,148
33,155,147
33,154,147
33,154,147
33,155,147
33,155,147
33,155,147
33,155,147
33,155,147
34,155,148
35,155,148
36,156,149
37,157,149
40,158,150
40,158,151
41,160,150
43,159,152
45,160,153
46,160,154
36,155,149
34,155,148
33,155,147
33,154,147
33,154,147
33,153,147
32,155,146
32,155,146
32,155,146
32,155,146
32,155,146
33,155,147
33,155,147
34,155,148
34,155,148
35,156,148
36,157,149
37,157,150
37,157,150
37,157,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,151
38,158,151
38,158,151
39,159,151
40,159,150
40,159,150
39,160,151
39,160,151
40,159,150
40,159,150
40,159,150
40,159,150
40,158,151
40,158,151
40,158,151
40,158,151
40,158,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
39,160,151
39,160,151
39,160,151
39,160,151
38,160,150
38,160,150
38,160,150
38,160,150
38,160,150
38,160,150
39,160,151
39,160,151
39,160,151
40,159,150
40,159,150
41,160,150
41,160,150
40,159,151
40,158,151
39,159,151
38,158,151
38,158,151
38,158,151
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,151
38,158,151
38,158,151
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,151
38,158,151
38,158,151
38,158,151
39,159,151
39,159,151
39,159,151
39,159,151
39,159,151
38,160,150
39,159,151
39,159,151
39,159,151
39,159,151
40,158,150
40,158,150
40,158,150
40,158,150
39,159,151
39,159,151
39,159,151
40,159,150
40,159,150
40,159,150
39,160,151
39,160,151
40,159,150
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,158,151
40,158,151
40,158,151
40,159,151
41,160,151
42,160,151
43,159,152
43,160,152
43,161,152
43,161,152
43,161,152
43,161,153
44,161,153
44,161,153
45,162,154
45,162,154
45,162,154
46,162,154
46,162,154
46,162,154
45,162,153
45,162,153
45,162,153
45,162,154
45,162,154
43,161,153
43,161,153
43,161,153
43,161,152
43,161,152
42,160,152
42,160,152
42,160,152
42,160,151
41,160,150
41,158,150
40,158,151
40,158,150
39,158,151
39,158,151
38,157,150
38,157,150
37,157,149
36,156,149
35,155,148
35,155,148
34,155,148
33,155,147
33,155,147
33,155,147
33,155,147
33,155,147
33,155,147
33,155,147
34,155,148
34,155,148
35,155,148
36,156,149
37,157,149
40,158,150
40,158,151
41,160,150
43,159,152
45,160,153
46,160,154
36,155,148
34,155,147
33,155,147
33,154,147
33,154,147
33,153,147
32,155,146
32,155,146
32,155,146
32,155,146
32,155,146
33,155,147
33,155,147
33,155,147
34,155,147
34,156,147
36,157,149
36,157,149
37,157,150
37,157,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,151
38,158,151
39,159,151
40,159,150
40,159,150
40,159,150
40,159,150
40,159,150
40,159,150
40,159,150
40,159,150
40,158,151
40,158,151
40,158,151
40,158,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
38,160,150
38,160,150
38,160,150
38,160,150
38,159,150
38,159,150
38,160,150
39,160,151
39,160,151
40,159,150
40,159,151
41,160,150
41,160,150
41,160,150
40,159,151
40,159,150
39,159,151
38,158,151
38,158,151
38,158,151
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,151
38,158,151
38,158,151
38,158,151
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
39,159,151
39,159,151
39,159,151
40,159,150
39,160,151
39,160,151
40,159,150
40,159,150
39,159,151
40,159,150
40,158,151
40,159,151
40,159,151
40,158,151
40,159,150
40,159,150
40,159,150
40,159,150
40,159,150
40,159,150
40,159,151
40,159,151
40,159,151
41,159,151
41,160,151
41,160,151
41,160,151
40,159,151
40,159,151
40,159,151
41,160,151
42,160,152
42,160,152
42,160,152
42,160,151
43,160,152
43,161,152
43,161,153
43,161,153
44,161,153
44,161,153
44,161,153
45,162,154
45,162,154
46,162,154
46,162,154
46,162,154
46,162,154
46,162,154
45,162,153
45,162,153
45,162,154
44,161,153
43,161,153
43,161,153
43,161,153
43,161,152
43,161,152
42,160,152
42,160,152
42,160,152
42,160,151
41,160,150
41,158,150
40,158,151
40,158,150
39,158,151
39,158,151
38,157,150
38,157,150
36,157,149
36,155,148
35,155,148
35,155,148
34,155,148
34,155,148
33,155,147
33,155,147
33,155,147
33,155,147
33,155,147
34,155,148
34,155,148
35,155,148
36,156,149
36,157,149
38,157,150
40,158,150
40,159,151
41,160,150
43,159,152
45,160,153
45,161,153
36,155,148
35,155,148
34,155,147
33,154,147
33,154,147
33,153,147
33,153,147
32,155,146
32,155,146
32,155,146
32,155,146
33,155,146
33,155,147
33,155,147
34,155,147
35,155,148
36,155,148
36,157,149
37,157,150
37,157,150
37,157,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,151
38,158,151
40,159,150
40,158,151
40,158,151
40,159,150
40,159,150
39,159,151
39,159,151
40,159,150
40,159,150
40,158,151
40,158,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
39,160,151
39,160,151
39,160,151
39,160,151
39,160,151
38,160,150
38,160,150
38,160,150
38,159,150
38,159,150
38,159,150
38,159,150
38,160,150
39,160,151
40,159,150
40,159,151
41,160,150
41,160,150
41,160,150
40,159,151
40,158,151
39,159,151
39,159,151
38,158,150
38,158,151
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,150
38,158,150
38,158,150
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
39,159,151
39,159,151
40,159,150
39,160,151
39,160,151
39,160,151
39,160,151
40,159,150
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,150
40,159,150
40,159,150
40,159,151
41,160,150
42,160,151
42,160,152
42,160,152
42,160,152
41,160,151
41,160,151
41,160,150
41,160,151
41,160,151
41,160,151
42,160,152
42,160,152
42,160,152
42,160,152
42,160,152
43,161,152
43,161,153
43,161,153
44,161,153
44,161,153
44,161,153
45,162,154
45,162,154
45,162,154
46,162,154
46,162,154
46,162,154
46,162,154
45,162,153
45,162,153
45,162,154
45,162,154
44,161,153
43,161,153
43,161,153
43,161,153
43,161,153
43,161,152
42,160,152
42,160,152
42,160,152
42,160,151
41,160,150
41,158,150
40,158,151
40,158,150
39,158,151
39,158,151
38,157,150
37,157,149
36,157,149
36,155,148
35,155,148
35,155,148
34,155,147
34,155,147
33,155,147
33,155,147
33,155,147
33,155,147
33,155,147
34,155,148
34,155,148
35,155,148
36,156,149
37,157,150
39,158,151
40,158,151
41,160,151
42,160,152
44,160,152
45,160,154
46,161,154
36,155,148
35,155,148
34,155,147
33,154,147
33,154,147
33,153,147
33,153,147
32,155,146
32,155,146
32,155,146
32,155,146
33,155,146
33,155,147
33,155,147
33,155,147
35,155,148
36,155,148
36,157,149
37,157,150
37,157,150
37,157,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,151
39,158,151
40,158,150
40,158,150
39,159,151
39,159,151
39,159,151
39,159,151
40,159,150
40,159,150
40,159,150
40,159,151
40,159,151
42,160,152
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,151
39,160,151
40,159,151
40,159,151
40,159,151
40,159,150
40,159,150
39,160,151
39,160,151
39,160,151
39,160,151
40,159,150
39,159,151
39,159,151
39,159,151
38,159,150
38,159,150
38,159,150
38,159,150
38,160,150
39,160,151
40,159,150
40,159,151
41,158,150
41,158,150
40,159,151
40,159,150
40,159,150
39,159,151
39,159,151
38,158,150
38,158,151
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
39,159,151
40,159,150
40,159,150
39,160,151
39,160,151
39,160,151
40,160,151
40,160,151
40,160,151
41,159,151
42,160,152
42,160,152
42,160,152
42,160,152
42,160,152
42,160,152
42,160,152
42,160,152
42,160,152
42,160,151
42,160,151
42,160,152
42,160,152
42,160,152
42,160,152
42,160,151
42,160,151
41,160,150
41,160,151
42,160,152
42,160,152
42,160,152
42,160,152
42,160,152
43,161,152
43,161,152
43,161,152
44,161,153
44,161,153
44,161,153
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
46,162,154
46,162,154
45,162,153
45,162,154
45,162,154
45,162,154
44,161,153
44,161,153
43,161,153
43,161,153
43,161,153
43,161,153
43,161,152
43,161,152
42,160,152
42,160,152
42,160,151
41,160,151
41,158,150
40,158,151
39,158,151
39,158,151
39,158,151
38,157,150
37,157,149
36,156,149
36,155,148
35,155,148
34,155,147
34,155,147
34,155,147
33,155,147
33,155,147
33,155,147
33,155,147
34,155,148
34,155,148
35,155,148
36,156,149
36,156,149
38,157,150
40,158,150
40,159,151
41,160,151
42,160,152
43,161,153
45,161,154
47,161,154
35,155,148
34,155,147
33,154,147
33,154,147
33,153,147
33,153,147
32,155,146
32,155,146
32,155,146
32,155,146
33,155,146
33,155,146
33,155,147
34,155,147
34,155,147
35,155,148
36,156,149
36,157,149
37,157,150
37,157,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,150
38,158,151
39,158,151
39,158,151
38,158,150
39,159,151
39,159,151
39,159,151
40,159,150
40,159,150
40,159,151
42,160,151
43,159,151
43,159,151
42,160,150
41,158,150
41,158,150
40,159,151
40,159,151
40,159,151
40,159,151
39,160,151
39,160,151
40,159,151
40,159,151
40,159,151
40,159,151
40,159,150
39,160,151
39,160,151
39,159,151
39,159,151
39,159,151
39,159,151
39,159,151
38,158,150
38,159,150
38,159,150
38,159,150
38,159,150
38,160,150
39,160,151
39,160,151
40,159,150
40,159,150
40,159,150
40,159,150
40,159,150
39,159,151
39,159,151
40,158,150
39,158,151
38,158,150
38,158,150
38,158,150
38,158,150
38,158,151
38,158,151
38,158,151
39,159,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
38,158,151
40,158,150
40,158,150
38,158,151
38,158,151
39,159,151
39,159,151
39,159,151
40,159,150
40,159,150
39,160,151
39,160,151
40,160,151
40,160,151
42,160,152
42,160,152
42,160,151
42,160,151
42,160,151
42,160,151
42,160,152
42,160,152
42,160,152
42,160,152
42,160,152
42,160,152
42,160,152
42,160,151
42,160,151
42,160,151
42,160,151
42,160,151
42,160,151
42,160,151
42,160,152
42,160,152
42,160,152
42,160,152
42,160,152
42,160,152
42,160,152
42,160,152
43,161,152
43,161,152
44,161,153
44,161,153
45,162,154
45,162,154
45,162,154
45,162,154
45,162,155
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
45,162,154
44,161,153
44,161,153
44,161,153
44,161,153
45,160,153
44,160,152
44,160,152
43,161,152
43,161,152
43,161,152
42,160,152
42,160,152
40,159,151
40,158,151
40,158,151
39,158,151
39,158,151
39,158,151
38,157,150
37,157,149
36,155,148
35,155,148
35,155,148
34,155,147
34,155,147
34,155,147
34,155,147
33,155,147
33,155,147
34,155,147
34,155,148
35,155,148
36,155,149
36,156,149
38,157,150
40,158,150
41,158,150
42,160,152
42,160,152
